Day,Opening,Highest,Lowest,Closing,Volume
2014-05-15,64.01146,64.01146,62.54473,63.30238,130661
2014-05-16,63.33153,64.332,62.99155,63.80749,98356
2014-05-19,63.86576,64.45828,63.72977,63.78806,69879
2014-05-20,64.10859,64.10859,61.4374,61.67052,172101
2014-05-21,61.68024,61.89393,61.03915,61.89393,80366
2014-05-22,61.8065,63.83662,61.8065,63.38981,100192
2014-05-23,62.02991,63.07897,61.55396,62.94298,69701
2014-05-26,62.58359,63.45779,62.57388,63.32181,30165
2014-05-27,63.28295,63.47721,62.21447,63.33153,68931
2014-05-28,63.33153,63.33153,62.26304,63.08869,65994
2014-05-29,63.5355,66.05128,63.21495,66.05128,187390
2014-05-30,65.68216,67.68313,64.88566,66.05128,343944
2014-06-02,66.05128,66.05128,64.92451,65.5656,66511
2014-06-03,65.27421,66.19698,65.07993,65.72102,146750
2014-06-04,65.72102,66.04157,65.28392,65.66273,80144
2014-06-05,64.01146,67.9454,63.46751,65.31306,266264
2014-06-06,64.9828,65.24506,64.10859,64.17658,82148
2014-06-09,64.39028,64.86624,63.78806,64.10859,44682
2014-06-10,64.53599,67.11003,64.4097,67.07118,135287
2014-06-11,66.77979,67.61514,65.0508,65.35192,153912
2014-06-12,65.61418,66.03186,65.44905,65.95414,69456
2014-06-13,65.7793,66.59522,65.53646,66.05128,48124
2014-06-16,66.02214,66.40096,65.07993,65.86673,55455
2014-06-17,65.80845,66.37181,65.69188,66.06099,42682
2014-06-18,66.12899,66.85749,65.73074,66.12899,78524
2014-06-19,66.32326,67.20717,66.12899,66.92549,76620
2014-06-20,66.77979,67.89684,66.75064,67.09061,160623
2014-06-23,67.34316,67.34316,66.47868,66.55637,54879
2014-06-24,66.56609,67.51801,66.56609,66.97406,82690
2014-06-25,67.09061,67.17804,65.66273,66.2164,91107
2014-06-26,66.97406,66.97406,65.26449,65.59475,92654
2014-06-27,65.39077,65.39077,64.5457,64.6234,78080
2014-06-30,64.76911,65.65303,64.6234,65.26449,78675
2014-07-01,65.25479,65.46848,64.34172,64.46798,64463
2014-07-02,64.39028,64.83711,63.98232,64.61369,86581
2014-07-03,64.80796,64.80796,64.03089,64.10859,90026
2014-07-04,64.10859,65.02165,64.06003,64.61369,59119
2014-07-07,64.49714,64.86624,63.72977,63.84634,47710
2014-07-08,64.08916,64.22516,62.65158,62.69043,83939
2014-07-09,62.70014,63.04012,62.03964,62.19505,65926
2014-07-10,62.17562,62.17562,60.98087,61.26256,52108
2014-07-11,61.00029,61.99106,60.72832,61.5151,71899
2014-07-14,61.8648,62.00078,61.47625,61.92308,37351
2014-07-15,61.5054,62.39904,61.33056,61.75794,60914
2014-07-16,61.74823,62.56416,61.55396,62.16591,46259
2014-07-17,61.91336,61.91336,60.80602,60.80602,49257
2014-07-18,60.71861,64.09889,60.7089,63.35095,140394
2014-07-21,63.13725,63.33153,62.12705,62.12705,72165
