Day,Opening,Highest,Lowest,Closing,Volume
2024-04-15,89.85,90.6,88.8,89.6,56019
2024-04-16,88.5,91.15,88.3,90.25,82810
2024-04-17,89.8,92.95,89.6,92.6,105685
2024-04-18,92.5,93.85,92.35,92.95,58644
2024-04-19,92.85,94.1,91.5,93.8,56299
2024-04-22,94.85,97.0,91.65,91.8,74870
2024-04-23,92.6,93.8,92.25,92.25,80018
2024-04-24,92.25,93.35,91.85,92.45,45300
2024-04-25,92.45,92.75,90.85,91.7,111428
2024-04-26,97.35,98.55,89.4,89.8,263794
2024-04-29,89.5,91.5,89.0,90.55,85043
2024-04-30,90.65,91.05,89.35,89.4,115171
2024-05-02,90.15,90.95,88.3,88.7,79572
2024-05-03,89.0,91.85,88.8,90.25,58685
2024-05-06,90.85,91.65,89.95,89.95,30585
2024-05-07,94.7,98.1,93.5,95.35,209548
2024-05-08,95.75,97.35,94.0,94.8,89825
2024-05-09,94.6,95.7,94.25,95.65,39159
2024-05-10,96.2,96.75,95.5,96.45,60312
2024-05-13,96.05,96.2,92.3,93.0,67153
2024-05-14,92.95,95.4,92.8,94.9,67717
2024-05-15,94.85,94.95,93.5,93.8,6769
